Index,Release Note,Release Note Abstract
1,"New Features

Implement fetchPriority feature as parser option and magic comment by @alexander-akait in https://github.com/webpack/webpack/pull/17249
[CSS] - Introduce 'css/auto' as a css module type by @ahabhgk in https://github.com/webpack/webpack/pull/16577
[CSS] - Style-specific fields now automatically resolve in package.json by @burhanuday in https://github.com/webpack/webpack/pull/17346
webpack configuration API now accepts ""falsy values"" loaders and plugins by @alexander-akait in https://github.com/webpack/webpack/pull/17339

Bug Fixes

Fix codecov badge in readme by @burhanuday in https://github.com/webpack/webpack/pull/17353

Developer Experience

Add link to svelte loader for webpack by @burhanuday in https://github.com/webpack/webpack/pull/17369
Increase parser API types in internal plugins across dependency plugins @alexander-akait in https://github.com/webpack/webpack/pull/17365

Dependencies & Maintenance

Bump memfs from 3.5.2 to 3.5.3 by @dependabot in https://github.com/webpack/webpack/pull/17347
Bump webpack-cli from 5.1.3 to 5.1.4 by @dependabot in https://github.com/webpack/webpack/pull/17349
Bump es-module-lexer from 1.2.1 to 1.3.0 by @dependabot in https://github.com/webpack/webpack/pull/17362
Bump @types/node from 20.2.5 to 20.3.0 by @dependabot in https://github.com/webpack/webpack/pull/17361
Bump core-js from 3.30.2 to 3.31.0 by @dependabot in https://github.com/webpack/webpack/pull/17360
Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17367
Bump @types/node from 20.3.0 to 20.3.1 by @dependabot in https://github.com/webpack/webpack/pull/17366

New Contributors
@aboktor made their first contribution in #16991 #16989 
@silverwind made their first contribution in #17339 via #17329
Full Changelog: https://github.com/webpack/webpack/compare/v5.86.0...v5.87.0","New Features
Implement fetchPriority feature as parser option and magic comment by @alexander-akait in link
[CSS] - Introduce 'css/auto' as a css module type by @ahabhgk in link
[CSS] - Style-specific fields now automatically resolve in package.json by @burhanuday in link
webpack configuration API now accepts ""falsy values"" loaders and plugins by @alexander-akait in link
Bug Fixes
Fix codecov badge in readme by @burhanuday in link
Developer Experience
Add link to svelte loader for webpack by @burhanuday in link
Increase parser API types in internal plugins across dependency plugins @alexander-akait in link
Dependencies & Maintenance
Bump memfs from 3.5.2 to 3.5.3 by @dependabot in link
Bump webpack-cli from 5.1.3 to 5.1.4 by @dependabot in link
Bump es-module-lexer from 1.2.1 to 1.3.0 by @dependabot in link
Bump @types/node from 20.2.5 to 20.3.0 by @dependabot in link
Bump core-js from 3.30.2 to 3.31.0 by @dependabot in link
Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in link
Bump @types/node from 20.3.0 to 20.3.1 by @dependabot in link
New Contributors
@aboktor made their first contribution in #16991 #16989 
@silverwind made their first contribution in #17339 via #17329
Full Changelog: link"
2,"New Features

Improved cache size performance via better handling of serialization for errors and bigints by @alexander-akait in https://github.com/webpack/webpack/pull/17282
Introduce an export default handler function option for ProgressPlugin by @alexander-akait in https://github.com/webpack/webpack/pull/17312
Support passing RegExp to splitChunks.chunks by @hyf0 in https://github.com/webpack/webpack/pull/17332

Bug Fixes

Fix layer capabilities for ContextModule types by @huozhi in https://github.com/webpack/webpack/pull/17310
Fix compatibility of __non_webpack_require__ with ES modules by @alexander-akait in https://github.com/webpack/webpack/pull/17308
Improve type coverage Chunk, ChunkGroup, and other plugins by @alexander-akait in https://github.com/webpack/webpack/pull/1731
Do not add js extension for eval source maps when extension is not resolvable by @alexander-akait in https://github.com/webpack/webpack/pull/17331

Developer Experience

Improve type coverage for Json Module type and lazy load json-assertions package by @alexander-akait in https://github.com/webpack/webpack/pull/17301

Dependencies & Maintenance

Bump memfs from 3.5.1 to 3.5.2 by @dependabot in https://github.com/webpack/webpack/pull/17315
Bump webpack-cli from 5.1.1 to 5.1.3 by @dependabot in https://github.com/webpack/webpack/pull/17314
Bump eslint from 8.41.0 to 8.42.0 by @dependabot in https://github.com/webpack/webpack/pull/17313

New Contributors

@huozhi made their first contribution in https://github.com/webpack/webpack/pull/17310
@hyf0 made their first contribution in https://github.com/webpack/webpack/pull/17332

Full Changelog: https://github.com/webpack/webpack/compare/v5.85.1...v5.86.0","New Features
Improved cache size performance via better handling of serialization for errors and bigints by @alexander-akait in link
Introduce an export default handler function option for ProgressPlugin by @alexander-akait in link
Support passing RegExp to splitChunks.chunks by @hyf0 in link
Bug Fixes
Fix layer capabilities for ContextModule types by @huozhi in link
Fix compatibility of non_webpack_require with ES modules by @alexander-akait in link
Improve type coverage Chunk, ChunkGroup, and other plugins by @alexander-akait in link
Do not add js extension for eval source maps when extension is not resolvable by @alexander-akait in link
Developer Experience
Improve type coverage for Json Module type and lazy load json-assertions package by @alexander-akait in link
Dependencies & Maintenance
Bump memfs from 3.5.1 to 3.5.2 by @dependabot in link
Bump webpack-cli from 5.1.1 to 5.1.3 by @dependabot in link
Bump eslint from 8.41.0 to 8.42.0 by @dependabot in link
New Contributors
@huozhi made their first contribution in link
@hyf0 made their first contribution in link
Full Changelog: link"
3,"Bug Fixes

Fix bug in handling barrel imports (#17305) by @bworline in https://github.com/webpack/webpack/pull/17307 - NOTE: An internal API BasicEvaluatedExpression.getMemberRangeStarts has been changed to BasicEvaluatedExpression.getMemberRanges, please see type definition changes and the pull request for more information. 

Dependencies & Maintenance

Bump @types/jest from 29.5.1 to 29.5.2 by @dependabot in https://github.com/webpack/webpack/pull/17297

Full Changelog: https://github.com/webpack/webpack/compare/v5.85.0...v5.85.1","Bug Fixes
Fix bug in handling barrel imports (#17305) by @bworline in link - NOTE: An internal API BasicEvaluatedExpression.getMemberRangeStarts has been changed to BasicEvaluatedExpression.getMemberRanges, please see type definition changes and the pull request for more information. 
Dependencies & Maintenance
Bump @types/jest from 29.5.1 to 29.5.2 by @dependabot in link
Full Changelog: link"
4,"New Features

Add readonly cache mode by @vankop in https://github.com/webpack/webpack/pull/15470
Normalize property accessors for esm namespaces and chained member/call expressions by @bworline in https://github.com/webpack/webpack/pull/17203 
Support environment in loader context by @alexander-akait in https://github.com/webpack/webpack/pull/17281
Introduce a new syntax for addModule() support in worklets - *context.audioWorklet.addModule() by @alexander-akait in https://github.com/webpack/webpack/pull/17212

Bug Fixes

Fix type regression with unknown module type strings by @alexander-akait in https://github.com/webpack/webpack/pull/17266

Developer Experience

Use global runtime constants for webpack exports by @burhanuday in https://github.com/webpack/webpack/pull/17270
Add strict mode type coverage for WASM and Runtime code by @alexander-akait in https://github.com/webpack/webpack/pull/17267
Add strict mode type coverage for runtime modules and runtime plugins by @alexander-akait in https://github.com/webpack/webpack/pull/17261
Add types for JSON & Asset Modules including their interfacing plugins by @alexander-akait in https://github.com/webpack/webpack/pull/17262
Add type coverage for Module subclasses and plugins by @alexander-akait in https://github.com/webpack/webpack/pull/17272

Dependencies & Maintenance

Use GitHub Discussions instead of Gitter in issue templates by @snitin315 in https://github.com/webpack/webpack/pull/17293
Bump @types/node from 20.2.3 to 20.2.4 by @dependabot in https://github.com/webpack/webpack/pull/17269
Bump browserslist from 4.21.5 to 4.21.6 by @dependabot in https://github.com/webpack/webpack/pull/17275
Bump @types/node from 20.2.4 to 20.2.5 by @dependabot in https://github.com/webpack/webpack/pull/17276
Bump @babel/core from 7.21.8 to 7.22.1 by @dependabot in https://github.com/webpack/webpack/pull/17278

Full Changelog: https://github.com/webpack/webpack/compare/v5.84.1...v5.85.0","New Features
Add readonly cache mode by @vankop in link
Normalize property accessors for esm namespaces and chained member/call expressions by @bworline in link 
Support environment in loader context by @alexander-akait in link
Introduce a new syntax for addModule() support in worklets - *context.audioWorklet.addModule() by @alexander-akait in link
Bug Fixes
Fix type regression with unknown module type strings by @alexander-akait in link
Developer Experience
Use global runtime constants for webpack exports by @burhanuday in link
Add strict mode type coverage for WASM and Runtime code by @alexander-akait in link
Add strict mode type coverage for runtime modules and runtime plugins by @alexander-akait in link
Add types for JSON & Asset Modules including their interfacing plugins by @alexander-akait in link
Add type coverage for Module subclasses and plugins by @alexander-akait in link
Dependencies & Maintenance
Use GitHub Discussions instead of Gitter in issue templates by @snitin315 in link
Bump @types/node from 20.2.3 to 20.2.4 by @dependabot in link
Bump browserslist from 4.21.5 to 4.21.6 by @dependabot in link
Bump @types/node from 20.2.4 to 20.2.5 by @dependabot in link
Bump @babel/core from 7.21.8 to 7.22.1 by @dependabot in link
Full Changelog: link"
5,"Bug Fixes

Fix regression in inner graph for reserved identifiers by @alexander-akait in https://github.com/webpack/webpack/pull/17265

Dependencies & Maintenance

Bump @types/jest from 29.5.0 to 29.5.1 by @dependabot in https://github.com/webpack/webpack/pull/17027
Bump simple-git from 3.18.0 to 3.19.0 by @dependabot in https://github.com/webpack/webpack/pull/17263

Full Changelog: https://github.com/webpack/webpack/compare/v5.84.0...v5.84.1","Bug Fixes
Fix regression in inner graph for reserved identifiers by @alexander-akait in link
Dependencies & Maintenance
Bump @types/jest from 29.5.0 to 29.5.1 by @dependabot in link
Bump simple-git from 3.18.0 to 3.19.0 by @dependabot in link
Full Changelog: link"
6,"New Features

SourceMapDevToolPlugin now supports append option as a function by @snitin315 in https://github.com/webpack/webpack/pull/17252

Bug Fixes

Fix multiple bugs referencing class names when shadowed by import name in properties and methods by @alexander-akait in https://github.com/webpack/webpack/pull/17233
Allow DefinePlugin shorthand property by @shamoilarsi in https://github.com/webpack/webpack/pull/17231
[CSS] - Fix edge cases in parsing @import by @alexander-akait in https://github.com/webpack/webpack/pull/17229

Developer Experience

Increase type coverage for serialization classes by @alexander-akait in https://github.com/webpack/webpack/pull/17243
Increase type coverage for JavascriptParser and ModuleDependency subclasses by @alexander-akait in https://github.com/webpack/webpack/pull/17236
Increase type coverage to strict-mode quality for Configuration/Normalization objects by @alexander-akait in https://github.com/webpack/webpack/pull/17247
Refactor duplicate strings by replacing them with constant for webpack_require instead of string literal by @burhanuday in https://github.com/webpack/webpack/pull/17228
Add test case for with { type: ""json"" } by @alexander-akait in https://github.com/webpack/webpack/pull/17230
Add test case for destructuring by @alexander-akait in https://github.com/webpack/webpack/pull/17248

Dependencies & Maintenance

Add GitHub discussions badge in README by @snitin315 in https://github.com/webpack/webpack/pull/17251
Bump enhanced-resolve to 5.14.1 by @TheLarkInn in https://github.com/webpack/webpack/pull/17257
Bump @types/node from 20.1.7 to 20.2.0 by @dependabot in https://github.com/webpack/webpack/pull/17219
Bump @types/node from 20.2.0 to 20.2.1 by @dependabot in https://github.com/webpack/webpack/pull/17226
Bump webpack-cli from 5.1.0 to 5.1.1 by @dependabot in https://github.com/webpack/webpack/pull/17164
Bump eslint from 8.39.0 to 8.40.0 by @dependabot in https://github.com/webpack/webpack/pull/17148
Bump @babel/core from 7.21.4 to 7.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17126
Bump @types/node from 20.2.1 to 20.2.3 by @dependabot in https://github.com/webpack/webpack/pull/17238
Bump eslint from 8.40.0 to 8.41.0 by @dependabot in https://github.com/webpack/webpack/pull/17237

New Contributors

@shamoilarsi made their first contribution in https://github.com/webpack/webpack/pull/17231

Full Changelog: https://github.com/webpack/webpack/compare/v5.83.1...v5.84.0","New Features
SourceMapDevToolPlugin now supports append option as a function by @snitin315 in link
Bug Fixes
Fix multiple bugs referencing class names when shadowed by import name in properties and methods by @alexander-akait in link
Allow DefinePlugin shorthand property by @shamoilarsi in link
[CSS] - Fix edge cases in parsing @import by @alexander-akait in link
Developer Experience
Increase type coverage for serialization classes by @alexander-akait in link
Increase type coverage for JavascriptParser and ModuleDependency subclasses by @alexander-akait in link
Increase type coverage to strict-mode quality for Configuration/Normalization objects by @alexander-akait in link
Refactor duplicate strings by replacing them with constant for webpack_require instead of string literal by @burhanuday in link
Add test case for with { type: ""json"" } by @alexander-akait in link
Add test case for destructuring by @alexander-akait in link
Dependencies & Maintenance
Add GitHub discussions badge in README by @snitin315 in link
Bump enhanced-resolve to 5.14.1 by @TheLarkInn in link
Bump @types/node from 20.1.7 to 20.2.0 by @dependabot in link
Bump @types/node from 20.2.0 to 20.2.1 by @dependabot in link
Bump webpack-cli from 5.1.0 to 5.1.1 by @dependabot in link
Bump eslint from 8.39.0 to 8.40.0 by @dependabot in link
Bump @babel/core from 7.21.4 to 7.21.8 by @dependabot in link
Bump @types/node from 20.2.1 to 20.2.3 by @dependabot in link
Bump eslint from 8.40.0 to 8.41.0 by @dependabot in link
New Contributors
@shamoilarsi made their first contribution in link
Full Changelog: link"
7,"Bug Fixes

Fix regression in import/export normailization effecting mini-css-extract-plugin by @alexander-akait in https://github.com/webpack/webpack/pull/17214

Full Changelog: https://github.com/webpack/webpack/compare/v5.83.0...v5.83.1","Bug Fixes
Fix regression in import/export normailization effecting mini-css-extract-plugin by @alexander-akait in link
Full Changelog: link"
8,"New Features

Normalize property access for imports and exports by @bworline in https://github.com/webpack/webpack/pull/17137
Top Level Await is now enabled by default by @burhanuday in https://github.com/webpack/webpack/pull/17192

Bug Fixes

Correct chunkgroup.groupsIterable return type by @TheLarkInn in https://github.com/webpack/webpack/pull/17196
Fix bug in Rule Matcher type by @alexander-akait in https://github.com/webpack/webpack/pull/17207
Fixed apply event callback and optimizing callback event type by @nuintun in https://github.com/webpack/webpack/pull/16094
Fix types in hot module replacement APIs by @alexander-akait in https://github.com/webpack/webpack/pull/17193

Developer Experience

Expose ChunkGroup to type definitions by @TheLarkInn in https://github.com/webpack/webpack/pull/17201
Add NormalModuleFactory's ResolveData type to public interface by @TheLarkInn in https://github.com/webpack/webpack/pull/17195
Document compilation.afterChunks hook by @TheLarkInn in https://github.com/webpack/webpack/pull/17202

Dependencies & Maintenance

Bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6 by @dependabot in https://github.com/webpack/webpack/pull/17168
Bump wast-loader from 1.11.5 to 1.11.6 by @dependabot in https://github.com/webpack/webpack/pull/17163
Bump yarn-deduplicate from 6.0.1 to 6.0.2 by @dependabot in https://github.com/webpack/webpack/pull/17184
Fix command by @alexander-akait in https://github.com/webpack/webpack/pull/17154
Bump @types/node from 18.16.3 to 20.1.7 by @dependabot in https://github.com/webpack/webpack/pull/17205

New Contributors

@bworline made their first contribution in https://github.com/webpack/webpack/pull/17137
@nuintun made their first contribution in https://github.com/webpack/webpack/pull/16094

Full Changelog: https://github.com/webpack/webpack/compare/v5.82.1...v5.83.0","New Features
Normalize property access for imports and exports by @bworline in link
Top Level Await is now enabled by default by @burhanuday in link
Bug Fixes
Correct chunkgroup.groupsIterable return type by @TheLarkInn in link
Fix bug in Rule Matcher type by @alexander-akait in link
Fixed apply event callback and optimizing callback event type by @nuintun in link
Fix types in hot module replacement APIs by @alexander-akait in link
Developer Experience
Expose ChunkGroup to type definitions by @TheLarkInn in link
Add NormalModuleFactory's ResolveData type to public interface by @TheLarkInn in link
Document compilation.afterChunks hook by @TheLarkInn in link
Dependencies & Maintenance
Bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6 by @dependabot in link
Bump wast-loader from 1.11.5 to 1.11.6 by @dependabot in link
Bump yarn-deduplicate from 6.0.1 to 6.0.2 by @dependabot in link
Fix command by @alexander-akait in link
Bump @types/node from 18.16.3 to 20.1.7 by @dependabot in link
New Contributors
@bworline made their first contribution in link
@nuintun made their first contribution in link
Full Changelog: link"
9,"Bug Fixes

[CSS] - Support nesting in CSS modules and bug fixes by @alexander-akait in https://github.com/webpack/webpack/pull/17133
[CSS] - Fix crash with importModule when CSS enabled by @alexander-akait in https://github.com/webpack/webpack/pull/17140
Fix bug where output.hashFunction was failing to generate debug hash by @ahabhgk in https://github.com/webpack/webpack/pull/16950
Reduce the amount of generated code for chunk loading by @lvivski in https://github.com/webpack/webpack/pull/17151
Use module preload for ESM module output by @alexander-akait in https://github.com/webpack/webpack/pull/17143

Developer Experience

Improve module type strictness for Module.prototype.type expand ModuleTypeConstants by @TheLarkInn in https://github.com/webpack/webpack/pull/17136

Dependencies & Maintenance

Update package.json description by @JeraldVin in https://github.com/webpack/webpack/pull/17145
Bump webpack-cli from 5.0.2 to 5.1.0 by @dependabot in https://github.com/webpack/webpack/pull/17146
Bump core-js from 3.30.1 to 3.30.2 by @dependabot in https://github.com/webpack/webpack/pull/17149
Bump enhanced-resolve to v5.14.0 by @snitin315 in https://github.com/webpack/webpack/pull/17160

New Contributors

@JeraldVin made their first contribution in https://github.com/webpack/webpack/pull/17145

Full Changelog: https://github.com/webpack/webpack/compare/v5.82.0...v5.82.1","Bug Fixes
[CSS] - Support nesting in CSS modules and bug fixes by @alexander-akait in link
[CSS] - Fix crash with importModule when CSS enabled by @alexander-akait in link
Fix bug where output.hashFunction was failing to generate debug hash by @ahabhgk in link
Reduce the amount of generated code for chunk loading by @lvivski in link
Use module preload for ESM module output by @alexander-akait in link
Developer Experience
Improve module type strictness for Module.prototype.type expand ModuleTypeConstants by @TheLarkInn in link
Dependencies & Maintenance
Update package.json description by @JeraldVin in link
Bump webpack-cli from 5.0.2 to 5.1.0 by @dependabot in link
Bump core-js from 3.30.1 to 3.30.2 by @dependabot in link
Bump enhanced-resolve to v5.14.0 by @snitin315 in link
New Contributors
@JeraldVin made their first contribution in link
Full Changelog: link"
10,"New Features

[CSS] - Add URL dependencies support to consume shared module via module federation by @snitin315 in https://github.com/webpack/webpack/pull/16945
Allow webpack-cli to be in ESM by @alexander-akait in https://github.com/webpack/webpack/pull/17088
Allow specifying ""onPolicyCreationFailure"" mode for trusted types by @Zlatkovsky in https://github.com/webpack/webpack/pull/16990

Bug Fixes

[CSS] - Respect media/supports/layer from parent CSS module by @alexander-akait in https://github.com/webpack/webpack/pull/17115
[CSS] - Add warning & support for any @import rules must precede all other rules by @alexander-akait in https://github.com/webpack/webpack/pull/17118
[CSS] - Support handling #hash URL as external (similar to Parcel) by @alexander-akait in https://github.com/webpack/webpack/pull/17116
Optimize numberHash.js performance by removing inner loops by @alexkuz in https://github.com/webpack/webpack/pull/17074
Improve template string comparison algorithm by @An0nie in https://github.com/webpack/webpack/pull/17079

Tests & Contributor Experience

[CSS] - Increase imports external test coverage by @alexander-akait in https://github.com/webpack/webpack/pull/17089
Improve PR reliability via ignoring unstable coverage by @alexander-akait in https://github.com/webpack/webpack/pull/17106
Update webpack types to support extends property in webpack (for webpack-cli) by @burhanuday in https://github.com/webpack/webpack/pull/17113

Developer Experience

Increase type coverage and documentation for StringXor class.  by @TheLarkInn in https://github.com/webpack/webpack/pull/17070
Increase type coverage & docs for numberHash by @TheLarkInn in https://github.com/webpack/webpack/pull/17072
Increase type coverage & docs for JavascriptParser by @TheLarkInn in https://github.com/webpack/webpack/pull/17094
Increase type coverage & docs for BasicEvaluatedExpression by @TheLarkInn in https://github.com/webpack/webpack/pull/17096
Increase type coverage for CSS module type by @alexander-akait in https://github.com/webpack/webpack/pull/17097
Increase type coverage for JSON module type by @alexander-akait in https://github.com/webpack/webpack/pull/17095
Increase type coverage & docs for multiple utility classes by @alexander-akait in https://github.com/webpack/webpack/pull/17107

Dependencies & Maintenance

chore(deps-dev): bump lint-staged from 13.2.1 to 13.2.2 by @dependabot in https://github.com/webpack/webpack/pull/17075
chore(deps-dev): bump eslint from 8.38.0 to 8.39.0 by @dependabot in https://github.com/webpack/webpack/pull/17052
chore(deps-dev): bump assemblyscript from 0.27.3 to 0.27.4 by @dependabot in https://github.com/webpack/webpack/pull/17064
chore(deps-dev): bump assemblyscript from 0.27.4 to 0.27.5 by @dependabot in https://github.com/webpack/webpack/pull/17109
chore(deps-dev): bump @types/node from 18.16.2 to 18.16.3 by @dependabot in https://github.com/webpack/webpack/pull/17112
chore(deps-dev): bump @types/node from 18.15.13 to 18.16.2 by @dependabot in https://github.com/webpack/webpack/pull/17084
chore(deps-dev): bump webpack-cli from 5.0.1 to 5.0.2 by @dependabot in https://github.com/webpack/webpack/pull/17054
chore(deps-dev): bump date-fns from 2.29.3 to 2.30.0 by @dependabot in https://github.com/webpack/webpack/pull/17111

New Contributors

@An0nie made their first contribution in https://github.com/webpack/webpack/pull/17079
@burhanuday made their first contribution in https://github.com/webpack/webpack/pull/17113
@Zlatkovsky made their first contribution in https://github.com/webpack/webpack/pull/16990

Full Changelog: https://github.com/webpack/webpack/compare/v5.81.0...v5.82.0","New Features
[CSS] - Add URL dependencies support to consume shared module via module federation by @snitin315 in link
Allow webpack-cli to be in ESM by @alexander-akait in link
Allow specifying ""onPolicyCreationFailure"" mode for trusted types by @Zlatkovsky in link
Bug Fixes
[CSS] - Respect media/supports/layer from parent CSS module by @alexander-akait in link
[CSS] - Add warning & support for any @import rules must precede all other rules by @alexander-akait in link
[CSS] - Support handling #hash URL as external (similar to Parcel) by @alexander-akait in link
Optimize numberHash.js performance by removing inner loops by @alexkuz in link
Improve template string comparison algorithm by @An0nie in link
Tests & Contributor Experience
[CSS] - Increase imports external test coverage by @alexander-akait in link
Improve PR reliability via ignoring unstable coverage by @alexander-akait in link
Update webpack types to support extends property in webpack (for webpack-cli) by @burhanuday in link
Developer Experience
Increase type coverage and documentation for StringXor class.  by @TheLarkInn in link
Increase type coverage & docs for numberHash by @TheLarkInn in link
Increase type coverage & docs for JavascriptParser by @TheLarkInn in link
Increase type coverage & docs for BasicEvaluatedExpression by @TheLarkInn in link
Increase type coverage for CSS module type by @alexander-akait in link
Increase type coverage for JSON module type by @alexander-akait in link
Increase type coverage & docs for multiple utility classes by @alexander-akait in link
Dependencies & Maintenance
chore(deps-dev): bump lint-staged from 13.2.1 to 13.2.2 by @dependabot in link
chore(deps-dev): bump eslint from 8.38.0 to 8.39.0 by @dependabot in link
chore(deps-dev): bump assemblyscript from 0.27.3 to 0.27.4 by @dependabot in link
chore(deps-dev): bump assemblyscript from 0.27.4 to 0.27.5 by @dependabot in link
chore(deps-dev): bump @types/node from 18.16.2 to 18.16.3 by @dependabot in link
chore(deps-dev): bump @types/node from 18.15.13 to 18.16.2 by @dependabot in link
chore(deps-dev): bump webpack-cli from 5.0.1 to 5.0.2 by @dependabot in link
chore(deps-dev): bump date-fns from 2.29.3 to 2.30.0 by @dependabot in link
New Contributors
@An0nie made their first contribution in link
@burhanuday made their first contribution in link
@Zlatkovsky made their first contribution in link
Full Changelog: link"
