Index,Message,Description,Message Abstract,Description Abstract
1,chore(deps): update babel monorepo to v7.22.5,,chore(deps): update babel monorepo to v7.22.5,
2,fix(deps): update dependency @electron/remote to v2.0.10,,fix(deps): update dependency @electron/remote to v2.0.10,
3,chore(deps): update dependency @babel/plugin-transform-react-jsx to v7.22.3,,chore(deps): update dependency @babel/plugin-transform-react-jsx to v7.22.3,
4,chore(deps): update dependency @babel/core to v7.22.1,,chore(deps): update dependency @babel/core to v7.22.1,
5,chore(deps): update babel monorepo to v7.22.0,,chore(deps): update babel monorepo to v7.22.0,
6,chore(deps): update babel monorepo to v7.21.8,,chore(deps): update babel monorepo to v7.21.8,
7,chore(deps): update babel monorepo to v7.21.5,,chore(deps): update babel monorepo to v7.21.5,
8,chore(deps): update dependency @babel/core to v7.21.4,,chore(deps): update dependency @babel/core to v7.21.4,
9,fix(deps): update dependency music-metadata to v7.13.4,,fix(deps): update dependency music-metadata to v7.13.4,
10,chore(deps): update dependency nodemon to v2.0.22,,chore(deps): update dependency nodemon to v2.0.22,
11,chore(deps): update dependency gh-release to v7 (#2301),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency gh-release to v7 (#2301),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
12,chore(deps): update dependency pngjs to v7 (#2326),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency pngjs to v7 (#2326),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
13,fix(deps): update dependency rimraf to v4 (#2328),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,fix(deps): update dependency rimraf to v4 (#2328),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
14,chore(deps): update dependency appdmg to v0.6.6 (#2318),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Alex alxmorais8@msn.com,chore(deps): update dependency appdmg to v0.6.6 (#2318),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Alex alxmorais8@msn.com
