Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(deps): update babel monorepo to v7.22.5,0.3312118,"Thanks to @dcposch, @grunjol, and @feross for contributing to this release.",,0
fix(deps): update dependency @electron/remote to v2.0.10,0.74164134,Update Electron to 0.37.5,,1
chore(deps): update dependency @babel/plugin-transform-react-jsx to v7.22.3,0.53261495,Update React (v16) and Material-UI (v0.20) #1483 (mathiasvr),,0
chore(deps): update dependency @babel/core to v7.22.1,0.37499377,Remove unneeded dependencies (feross),,0
chore(deps): update babel monorepo to v7.22.0,0.32851267,Update Electron to 0.37.5,,0
chore(deps): update babel monorepo to v7.21.8,0.32561398,"Thanks to @dcposch, @grunjol, and @feross for contributing to this release.",,0
chore(deps): update babel monorepo to v7.21.5,0.33055004,"Thanks to @dcposch, @grunjol, and @feross for contributing to this release.",,0
chore(deps): update dependency @babel/core to v7.21.4,0.37366983,Remove unneeded dependencies (feross),,0
fix(deps): update dependency music-metadata to v7.13.4,0.68335074,Update to music-metadata 4.8.0 #1719 (Borewit),,0
chore(deps): update dependency nodemon to v2.0.22,0.5026461,Update Electron to 0.37.5,,0
chore(deps): update dependency gh-release to v7 (#2301),0.4327073,"Thanks to @dcposch, @grunjol, and @feross for contributing to this release.",Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency pngjs to v7 (#2326),0.47393453,Update Electron to 0.37.5,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
fix(deps): update dependency rimraf to v4 (#2328),0.41808414,Fix a few type errors #1720 (mathiasvr),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency appdmg to v0.6.6 (#2318),0.38774312,Fix installation bugs with .deb file (Linux),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: Alex alxmorais8@msn.com,0
build(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (#2313),0.39837664,🔒 This release contains a critical security fix. Please update as soon as possible.,Bumps http-cache-semantics from 4.1.0 to 4.1.1. - Release notes - Commits  updated-dependencies: - dependency-name: http-cache-semantics   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): update dependency minimist to v1.2.8 (#2319),0.4150195,Remove unneeded dependencies (feross),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update dependency open to v8.4.2 (#2321),0.47477788,Update Electron to 1.4.2,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
