Index,Message,Description
0,docs: add note to win.setFullScreen(flag) (#37921)
1,chore: replace uses of ComPtr::GetAddressOf() with ComPtr::operator& (#37948)
2,docs: update github.com links (#37958)
3,chore: drop patch for fixed Linux menus issue in Views (#37984)
4,chore: fix lint (#37971)
5,chore: disable flaky node test (#37900)
6,fix: defaultFontFamily in webPreferences (#37863)
7,fix: swipe event emission on macOS (#37946)
8,docs: Fix the syntax error for code fragment (#37939)
9,docs: update 22-x-y EOL dates (#37955)
10,chore: bump chromium to 114.0.5710.0 (main) (#37950)
11,ci: only remove blocked/need-repro on comment (#37879)
12,feat: remove on(ready) requirement from powerMonitor (#37937)
13,chore: bump chromium to 114.0.5708.0 (main) (#37834)
14,fix: recommended node-gyp version in node.h error (#37829)
15,fix: exceptions during function/promise result conversions live in calling world (#37904)
16,fix: broken buttons in PDF viewer (#37856)
17,chore: use nested namespaces (#37855)
18,chore: change some for loops to range-based (#37857)
19,chore: use emplace when possible (#37877)
20,fix: menus on Linux after window modification (#37798)
21,fix: exceptions in nested conversions live in the target world (#37895)
22,docs: update E24/E25 breaking changes (#37878)
23,fix: showAboutPanel also on linux (#37828)
24,docs: update 21-x-y EOL dates (#37841)
25,test: support 'latest'/'latest@X' Electron version strings (#37840)
26,fix: don't emit did-fail-load for MediaDocuments (#37824)
27,feat: session.resolveHost (#37690)
28,chore: initial linting fixes for JS in docs/fiddles (#37689)
29,docs: fix app.getPreferredSystemLanguages() return type (#37821)
30,test: migrate to helpers & disabled tests list (#37513)
31,chore: bump chromium to 114.0.5694.0 (main) (#37820)
32,fix: Fn+F fullscreen transitioning on macOS (#37803)
33,fix: apply csp correctly when contextIsolation: false (#37756)
34,refactor: only override V8Platform::CreateJob (#37800)
35,test: remove workaround for fixed Menu.closePopup issue (#37802)
36,chore: combine parallel/test-v8-stats v8 patches (#37801)
37,chore: bump chromium to 114.0.5692.0 (main) (#37806)
38,build: bump nmv to 116 (Electron 25) (#37797)
39,fix: record helper error messages in electron_main_mac (#37807)
40,chore: bump chromium to 114.0.5690.0 (main) (#37780)
41,chore: enforce consistent Markdown style for strong and emphasis (#37787)
42,build: update appveyor image to latest version (#37773)
43,chore: remove wasm CompileJSToWasmWrapperJob patch (#37782)
44,fix: set background color for menu bar on Windows (#37766)
45,build: remove request dependency (#37747)
46,build: fix build-tools schema in config (#37765)
47,docs: update references to @electron/rebuild (#37757)
48,chore: bump chromium to 114.0.5684.0 (main) (#37701)
49,docs: add links to IPC event structures (#37760)
50,docs: remove save-to-disk disposition (#37758)
51,ci: don't use pull_request_target with semantic PR title check (#37745)
52,chore: update line endings on HTML files (#37755)
53,docs: update docs.microsoft.com links to learn.microsoft.com (#37707)
54,chore: force LF endings for .html files in .gitattributes (#37704)
55,feat: add will-frame-navigate event (#34418)
56,docs: updated package.json content and electron version in build first app guide (#37554)
57,fix: draggable regions shouldn't capture clicks on frames windows (#37594)
58,ci: fixup update appveyor image workflow (#37684)
59,chore: generator objects can't be sent over the context bridge (#37593)
60,fix: crash in MessagePortMain with some postMessage params (#37585)
61,docs: fixup incorrect value for disabling sandbox (#37711)
62,feat: add protocol.handle (#36674)
63,fix: allow cancelling of bluetooth requests (#37601)
64,chore: bump chromium to 113.0.5670.0 (main) (#37675)
65,ci: fixup gn check to actually run gn check (#37676)
66,chore: bump chromium to 113.0.5668.0 (main) (#37646)
67,docs: update notifications tutorial (#37602)
68,chore: bump chromium to 113.0.5666.0 (main) (#37634)
69,docs: change MSDN links to new Microsoft docs (#37603)
70,chore: bump chromium to 113.0.5664.0 (main) (#37620)
71,ci: make sure that strip_binary.gni is properly preserved (#37626)
72,build(deps-dev): bump webpack from 5.73.0 to 5.76.0 (#37583)
73,fix: avoid deprecated value apis (#37590)
74,feat: Allow usage of an absolute path for partitions used in a session (#37604)
75,fix: invoke app.dock.{hide|show} instead of duplicating logic (#37599)
76,chore: remove unnecessary casting to base::Value (#37591)
77,docs: update broken links (#37610)
78,chore: bump chromium to 113.0.5660.0 (main) (#37612)
79,chore: Use thread_local: base/threading/ (#37600)
80,docs: delete synopsis.md (#37580)
81,fix: properly bubble up cookie creation failure message (#37586)
82,chore: bump chromium to 113.0.5653.0 (main) (#37587)
83,chore: update filenames.libcxx.gni (#37588)
84,refactor: replace deprecated base::Value::SetKey usage (#37570)
85,chore: bump chromium to 113.0.5651.0 (main) (#37553)
86,fix: don't set delegate for QLPreviewPanel (#37530)
87,docs: clarify open-url not preventable (#37564)
88,build: update appveyor image to latest version (#37561)
89,refactor: DEPS: remove squirrel.mac from recursedeps (#37496)
90,chore: fixup filenames.libcxx.gni (#37567)
91,chore: bump node to v18.15.0 (main) (#37532)
92,chore: bump chromium to 113.0.5636.0 (main) (#37130)
93,refactor: createThumbnailFromPath takes size not maxSize (#37362)
94,docs: remove outdated ipc example (#37523)
95,fix: fallback to X11 capturer if pipewire fails on Wayland (#37511)
96,docs: fixup WebUSB fiddle (#37455)
97,fix: WebUSB on ARM64 macs (#37441)
98,docs: remove misleading info from will-finish-launching docs (#37514)
99,feat: expose audio-state-changed on webContents (#37366)
100,fix: Showing the about panel is async on all platforms (#37440)
101,fix: don't double-log unhandled rejections (#37464)
102,refactor: leverage Skia helpers for NSColor ANSI logic (#37452)
103,feat: net.fetch() supports custom protocols (#36606)
104,fix: draggable regions on MAS (#37466)
105,docs(clipboard): fix an issue of demo code (#37438)
106,fix: DCHECK in MessageSync in rare cases (#37439)
107,chore: improve contents.takeHeapSnapshot error messages (#37434)
108,fix: min/max width/height enforcement when aspectRatio is set (#37306)
109,feat: add enableLocalEcho flag to setDisplayMediaRequestHandler() callback (#37315)
110,fix: handle closing webContents in BrowserViews (#37420)
111,fix: Notification with reply obscuring first action on macOS (#37381)
112,test: add disabled tests list (#37334)
113,fix: BroadcastChannel initialization location (#37421)
114,fix: about panel crash (#37373)
115,feat: expose initiator in navigation events (#37085)
116,feat: add types to webRequest filter (#30914)
117,"refactor: use _loadURL(url, options ?? {}); (#37337)"
118,chore: set wg-releases as owner of /docs/breaking-changes.md (#37405)
119,chore: remove dead config code for trop (#37406)
120,docs: document change in draggable region behavior on macOS (#37396)
121,ci: rename Electron build step to include type of build being built (#37371)
122,fix: allow contextmenu event in draggable regions (#37386)
123,test: use node helpers for events.once and setTimeout promise (#37374)
124,chore: bump node to v18.14.2 (main) (#37380)
125,refactor: use associated v8::Context for event setup (#37355)
126,fix: html fullscreen when window not fullscreenable (#37348)
127,feat: add httpOnly cookies.get filter (#37255)
128,fix: guard more private API usage on MAS builds (#37309)
129,fix: restoring X11 window should not remove previous maximize state (#37346)
130,build: remove unused python code (#37351)
131,feat: implement net.fetch (#36733)
132,chore: bump node to v18.14.1 (main) (#37332)
133,docs: fixed a typo in process.defaultApp doc (#37342)
134,test: convert functions to async & eliminate duplicates (#37316)
135,test: type-safe import of menu-item-roles in api-menu-item-spec.ts (#37320)
136,test: use expect(dir).to.be.an.instanceof(fs.Dirent); (#37331)
137,test: cleanup let xyz = null as unknown as T; (#37335)
138,test: move desktopCapturer usage from renderer to main in ts-smoke (#37321)
139,test: enable linting of ts-smoke and fix all issues (#37322)
140,test: use async helpers to simplify tests (#37314)
141,feat: add BrowserWindow.set/getWindowButtonPosition APIs (#37094)
142,test: rename & split internal module tests (#37318)
143,"test: fix ""crash cases"" tests not failing properly (#37304)"
144,test: use webContents.create() in type-safe way (#37281)
145,build: strip warnings from stdout in get_release (#37277)
146,chore: remove redundant Node.js patch (#37279)
147,test: use render-process-gone event in tests (#37280)
148,docs: only macOS 10.13+ is supported now (#37286)
149,build: ignore makeLatest on pre-releases (#37274)
150,build: add missing is_verbose_mode import (#37273)
151,chore: add logging for debugging release json (#37270)
152,fix: BrowserView crash when 'beforeunload' prevented (#37205)
153,build: re-bake node v18.12.1 image for asset upload (#37254)
154,feat: include all standard paper sizes for webContents.print() (#37159)
155,docs: add win.isFocusable() return type (#37245)
156,refactor: simplify Node.js event loop with SpinEventLoop (#34884)
157,feat: add logUsage to shell.openExternal() options (#37139)
158,build: revert to e-110.0.5451.0 on Appveyor (#37253)
159,build: bake node v18.12.1 Appveyor image (#37250)
160,refactor: simplify events (#37099)
161,fix: cookies filter secure invalid (#37203)
162,build: set make_latest correctly on published releases (#37233)
163,chore: change undocumented protocol.registerProtocol to detect body type (#36595)
164,chore: update links in comments (#37197)
165,chore: update https://cs.chromium.org/ links to https://source.chromium.org/ (#37190)
166,ci: update appveyor build agent (#37211)
167,chore: re-enable worker spec failures (#37015)
168,docs: add missing clipboard-sanitized-write permission value to setPermissionRequestHandler() (#37173)
169,fix: avoid using v8 on Isolate termination (#35766)
170,chore: remove load-url event (#37174)
171,chore: rename built-in modules to bindings to match naming update in node (#37182)
172,test: ensure fullscreen test is retryable (#37179)
173,test: Node.js hkdf tests work now (#37180)
174,docs: remove reference to electron/releases (#37164)
175,test: mark some node specs as flaky (#37181)
176,fix: correct redefinition which is invalid C++ (#36096)
177,build: only retry tests on CI (#37167)
178,fix: type for received-apns-notification event (#37177)
179,fix: expose native bindings by process type (#35949)
180,chore: bump node to v18.14.0 (main) (#37129)
181,build: fix version check in release_dependency_versions.yml (#37155)
182,docs: use relative links within docs (#37042)
183,docs: update stable dates (#37150)
184,build: update appveyor image to latest version (#37151)
185,chore: remove old script code for ATOM_SHELL_ (#37140)
186,refactor: move gin_helper::Constructible methods to prototype (#37087)
187,chore: remove deprecated capturer count APIs (#37075)
188,fix: enable basic a11y when voice control is active (#37122)
189,docs: add missing ipcRenderer require to example code (#37134)
190,build(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (#37132)
191,build: update spec dependencies to clean up yarn audit (#37116)
192,build: allow workflow_dispatch on scheduled Actions (#37128)
193,chore: bump chromium to 111.0.5544.3 (main) (#36820)
194,refactor: process event emitting for sandboxed renderers (#37109)
195,build: update mocha for retries and audit fix (#37117)
196,build: actually upload symbol zips (#37124)
197,docs: improve globalShortcut and hookWindowMessage types (#37115)
198,build: remove mips64el build config (#37093)
199,docs: use automatic link syntax for symbol server link (#37089)
200,docs: remove invalid appcache value from storages in clearStorageData() (#37095)
201,fix: nodeIntegrationInWorker fails to boot in AudioWorklets (#37041)
202,build: fixup release_dependency_versions action (#37036)
203,chore: strip trailing whitespace (#35969)
204,build: bump deps to clean up yarn audit (#36535)
205,chore: validate .mjs spec files in Node.js smoke tests (#37073)
206,docs: note how to clear an aspect ratio (#37074)
207,ci: update actions/stale to v6.0.1 (#37079)
208,docs: update modules list in docs/README.md (#37080)
209,ci: fixup ninja for release (#37083)
210,refactor: simplify script/lint.js (#37077)
211,fix: crash on WebWorkerObserver script execution (#37050)
212,fix: crash on window.print() (#37052)
213,ci: ensure correct ninja is used (#37069)
214,fix: ensure autofill popup view is > 1x1 in size (#36121)
215,fix: resizing borders in nondraggable regions (#37016)
