Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description
1,docs: add note to win.setFullScreen(flag) (#37921),0.6735009,- Fix win.setFullScreen(false) not working. #6961,
2,chore: replace uses of ComPtr::GetAddressOf() with ComPtr::operator& (#37948),0.5372349,Added process.getCPUUsage() and process.getIOCounters() APIs. #9373,
3,docs: update github.com links (#37958),0.6190939,docs: fix bad link in notifications tut. #19395 ,
4,chore: drop patch for fixed Linux menus issue in Views (#37984),0.7351737,"Fixed bug where inputs would lose focus when opening the menu bar, preventing many menu items (Edit/Copy/Paste/etc.) to be unusable on Windows and Linux. #19706",
5,chore: fix lint (#37971),0.6496936,Fixed linting after shell rename. 56930338,
6,chore: disable flaky node test (#37900),0.6423069,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
7,fix: defaultFontFamily in webPreferences (#37863),0.92034125,"Fixed an issue which made defaultFontFamily in webPreferences have no effect. #37968 (Also in 22, 23, 25)",
8,fix: swipe event emission on macOS (#37946),0.9708292,Fixed 'swipe' event emission on macOS. #19354,
9,docs: Fix the syntax error for code fragment (#37939),0.69378024,"Fixed a typo in the section on debugging with VSCode. #35284 (Also in 20, 21)",
10,docs: update 22-x-y EOL dates (#37955),0.66458666,|   E17 (Feb'22) |  E18 (Mar'22) |  E19 (May'22) |,
11,chore: bump chromium to 114.0.5710.0 (main) (#37950),0.8597297,Chromium 96.0.4664.4,
12,ci: only remove blocked/need-repro on comment (#37879),0.5352229,"Improved removeRemoteListenersAndLogWarning. #12975, #12998",
13,feat: remove on(ready) requirement from powerMonitor (#37937),0.77033794,Added powerMonitor.onBatteryPower. #26494 ,
14,chore: bump chromium to 114.0.5708.0 (main) (#37834),0.8610934,Chromium 96.0.4664.4,
15,fix: recommended node-gyp version in node.h error (#37829),0.98047596,"Fixed recommended node-gyp version in node.h error. #37941 (Also in 22, 24, 25)",
16,fix: exceptions during function/promise result conversions live in calling world (#37904),0.67740625,- Fix resolved callback of Promise doesn't get invoked under some situations.,
17,fix: broken buttons in PDF viewer (#37856),0.9376237,Fixed an issue where certain buttons in the PDF viewer didn't work. #37918 (Also in 25),
18,chore: use nested namespaces (#37855),0.54590154,chore: always try to nuke tags. #16452 ,
19,chore: change some for loops to range-based (#37857),0.49307418,"Script improvmements. #11103, #11158, #11178,",
20,chore: use emplace when possible (#37877),0.5332986,chore: always try to nuke tags. #16452 ,
21,fix: menus on Linux after window modification (#37798),0.834468,"Fixed an issue on Linux where menus would not open after resizing/maximizing/unmaximizing a window. #37908 (Also in 24, 25)",
22,fix: exceptions in nested conversions live in the target world (#37895),0.61668456,Fixed crash when an exception occurs within the event emitter. #28971 (Also in 13),
23,docs: update E24/E25 breaking changes (#37878),0.6747076,"Documentation updates and fixes. #13887, #13861, #13857",
24,fix: showAboutPanel also on linux (#37828),0.75679153,Fixed bug where app would crash if app.showAboutPanel() was called before setting any About panel options on Linux. #19625,
