,Num commit
0,3
1,9
2,1
3,9
4,19
5,11
6,10
7,12
8,4
9,11
10,13
11,14
12,20
13,12
14,2
15,18
16,17
17,2
18,13
19,11
20,9
21,18
22,2
23,6
24,11
25,15
26,2
27,8
28,2
29,10
30,19
31,125
32,1
33,6
34,4
35,1
36,17
37,7
38,18
39,12
40,9
41,3
42,1
43,16
44,3
45,10
46,10
47,1
48,8
49,18
50,6
51,9
52,23
53,2
54,15
55,11
56,1
57,1
58,10
59,17
60,7
61,5
62,20
63,10
64,17
65,9
66,1
67,12
68,17
69,4
70,9
71,1
72,1
73,1
74,2
75,1
76,1
77,8
78,7
79,5
80,19
81,13
82,19
83,4
84,2
85,1
86,8
87,17
88,15
89,17
90,11
91,2
92,10
93,12
94,1
95,9
96,5
97,12
98,20
99,25
100,14
101,11
102,12
103,17
104,26
105,16
106,27
107,23
108,9
109,12
110,2
111,15
112,12
113,18
114,12
115,11
116,15
117,6
118,6
119,15
120,10
121,4
122,3
123,2
124,5
125,9
126,1
127,1
128,20
129,10
130,7
131,18
132,15
133,1
134,8
135,2
136,11
137,9
138,7
139,10
140,8
141,15
142,8
143,3
144,7
145,9
146,6
147,10
148,7
149,7
150,8
151,12
152,16
153,6
154,9
155,8
156,5
157,1
158,1
159,13
160,12
161,8
162,6
163,3
164,14
165,5
166,9
167,17
168,15
169,12
170,14
171,8
172,1
173,9
174,9
175,17
176,10
177,5
178,12
179,13
180,12
181,2
182,21
183,3
184,2
185,10
186,6
187,26
188,9
189,1
190,1
191,4
192,21
193,11
194,14
195,18
196,16
197,16
198,3
199,10
200,16
201,2
202,23
203,2
204,3
205,15
206,19
207,1
208,14
209,4
210,4
211,15
212,12
213,24
214,18
215,13
216,2
217,17
218,11
219,16
220,12
221,1
222,11
223,10
224,9
225,11
226,14
227,12
228,4
229,16
230,14
231,13
232,25
233,12
234,4
235,15
236,10
237,21
238,6
239,21
240,18
241,21
242,17
243,11
244,19
245,4
246,24
247,12
248,16
249,24
250,20
251,11
252,11
253,17
254,18
255,2
256,12
257,11
258,20
259,16
260,18
261,1
262,11
263,4
264,12
265,2
266,5
267,1
268,3
269,16
270,10
271,11
272,5
273,20
274,15
275,7
276,9
277,16
278,21
279,19
280,13
281,15
282,15
283,25
284,11
285,17
286,14
287,9
288,25
289,15
290,21
291,26
292,13
293,53
294,2
295,2
296,13
297,11
298,21
299,3
300,27
301,26
302,18
303,15
304,12
305,5
306,5
307,10
308,12
309,2
310,1
311,1
312,6
313,31
314,6
315,6
316,22
317,2
318,4
319,11
320,19
321,4
322,21
323,8
324,6
325,19
326,16
327,16
328,17
329,19
330,22
331,14
332,7
333,10
334,10
335,23
336,19
337,13
338,42
339,31
340,4
341,13
342,10
343,15
344,4
345,13
346,29
347,5
348,12
349,12
350,14
351,2
352,17
353,8
354,13
355,11
356,1
357,10
358,13
359,25
360,1
361,3
362,16
363,1
364,15
365,11
366,6
367,15
368,35
369,7
370,15
371,1
372,15
373,1
374,10
375,10
376,10
377,17
378,14
379,2
380,2
381,13
382,5
383,13
384,1
385,6
386,7
387,8
388,1
389,5
390,10
391,9
392,9
393,10
394,9
395,5
396,20
397,12
398,3
399,18
400,54
401,25
402,35
403,15
404,1
405,8
406,11
407,10
408,11
409,11
410,4
411,14
412,11
413,16
414,13
415,1
416,16
417,1
418,9
419,2
420,7
421,12
422,5
423,5
424,7
425,6
426,11
427,11
428,1
429,9
430,6
431,13
432,8
433,10
434,9
435,8
436,5
437,6
438,2
439,15
440,18
441,3
442,18
443,1
444,18
445,6
446,9
447,8
448,10
449,21
450,1
451,6
452,5
453,23
454,5
455,11
456,4
457,4
458,3
459,3
460,4
461,17
462,11
463,17
464,2
465,24
466,16
467,17
468,14
469,1
470,8
471,20
472,1
473,8
474,14
475,16
476,9
477,10
478,12
479,10
480,15
481,10
482,11
483,6
484,8
485,9
486,6
487,9
488,8
489,6
490,3
491,15
492,1
493,8
494,16
495,12
496,14
497,20
498,13
499,2
500,6
501,11
502,9
503,1
504,10
505,13
506,15
507,2
508,11
509,20
510,5
511,36
512,3
513,23
514,21
515,21
516,16
517,3
518,14
519,10
520,12
521,3
522,19
523,37
524,15
525,13
526,12
527,15
528,1
529,14
530,25
531,4
532,9
533,11
534,29
535,7
536,5
537,14
538,26
539,10
540,10
541,9
542,4
543,13
544,9
545,25
546,19
547,13
548,10
549,18
550,1
551,10
552,28
553,14
554,4
555,11
556,13
557,16
558,18
559,28
560,4
561,29
562,17
563,15
564,16
565,5
566,9
567,12
568,6
569,17
570,6
571,20
572,17
573,25
574,21
575,7
576,4
577,19
578,21
579,32
580,27
581,22
582,4
583,8
584,23
585,1662
586,93
587,924
588,2387
589,19
590,1462
591,295
592,1
593,35
594,202
595,385
596,641
597,972
598,1
599,97
600,170
601,10
602,122
603,5
604,63
605,4
606,110
607,40
608,87
609,82
610,28
611,11
612,3
613,141
614,30
615,54
616,49
617,28
618,280
619,303
620,208
621,95
622,28
623,1843
624,2
625,134
626,80
627,38
628,71
629,12
630,225
631,143
632,71
633,98
634,55
635,2
636,111
637,41
638,71
639,38
640,21
641,383
642,120
643,2
644,109
645,38
646,78
647,12
648,97
649,7
650,160
651,57
652,140
653,7
654,63
655,1
656,40
657,32
658,17
659,18
660,37
661,2
662,89
663,148
664,65
665,64
666,8
667,18
668,101
669,44
670,4
671,3
672,82
673,7
674,5
675,150
676,3
677,207
678,55
679,166
680,59
681,358
682,117
683,195
684,1992
685,249
686,3
687,163
688,186
689,75
690,44
691,317
692,251
693,27
694,9
695,359
696,33
697,53
698,13
699,170
700,83
701,13
702,31
703,27
704,19
705,6
706,15
707,45
708,62
709,74
710,63
711,60
712,60
713,8
714,91
715,101
716,2
717,11
718,11
719,96
720,5
721,9
722,25
723,27
724,36
725,15
726,6
727,85
728,560
729,11
730,29
731,35
732,76
733,195
734,27
735,298
736,5
737,21
738,5
739,138
740,19
741,1
742,59
743,23
744,273
745,36
746,1
747,16
748,4
749,10
750,527
751,28
752,34
753,38
754,31
755,2
756,15
757,30
758,12
759,2
760,9
761,4
762,19
763,2
764,16
765,4
766,8
767,9
768,4
769,10
770,14
771,5
772,10
773,13
774,12
775,9
776,7
777,33
778,7
779,40
780,22
781,15
782,7
783,15
784,9
785,22
786,2
787,16
788,10
789,24
790,16
791,10
792,10
793,10
794,6
795,10
796,4
797,22
798,7
799,9
800,16
801,9
802,24
803,4
804,15
805,6
806,3
807,17
808,6
809,7
810,16
811,15
812,8
813,7
814,22
815,3
816,12
817,8
818,13
819,11
820,26
821,25
822,10
823,4
824,11
825,30
826,16
827,17
828,17
829,42
830,3
831,34
832,20
833,15
834,20
835,18
836,7
837,2
838,13
839,11
840,28
841,2
842,18
843,23
844,70
845,80
846,37
847,13
848,52
849,53
850,46
851,45
852,13
853,61
854,169
855,50
856,51
857,14
858,38
859,23
860,24
861,80
862,64
863,18
864,124
865,149
866,85
867,6
868,7
869,6
870,3
871,23
872,82
873,21
874,13
875,64
876,32
877,104
878,29
879,49
880,79
881,28
882,14
883,123
884,130
885,120
886,188
887,2
888,106
889,157
890,15
891,8
892,194
893,185
894,25
895,214
896,4
897,120
898,172
899,29
900,131
901,118
902,80
903,124
904,12
905,25
906,3
907,97
908,74
909,39
910,18
911,352
912,17
913,2
914,300
915,3
916,4
917,2
918,4
919,4
920,5
921,3
922,3
923,24
924,20
925,25
926,163
927,55
928,34
929,101
930,445
931,12
932,26
933,142
934,5
935,8
936,42
937,86
938,19
939,14
940,7
941,20
942,38
943,79
944,45
945,13
946,17
947,8
948,6
949,55
950,5
951,6
952,163
953,42
954,27
955,9
956,7
957,7
958,65
959,115
960,10
961,14
962,11
963,3
964,50
965,78
966,5
967,26
968,28
969,26
970,38
971,9
972,63
973,6
974,5
975,28
976,41
977,40
978,36
979,20
980,20
981,5
982,91
983,112
984,4
985,59
986,12
987,14
988,36
989,40
990,21
991,14
992,19
993,57
994,51
995,55
996,24
997,11
998,9
999,16
1000,55
1001,169
1002,9
1003,7
1004,8
1005,2
1006,19
1007,92
1008,2
1009,68
1010,12
1011,2
1012,24
1013,31
1014,72
1015,2
1016,19
1017,2
1018,8
1019,5
1020,11
1021,4
1022,27
1023,33
1024,54
1025,2
1026,2
1027,3
