,Repo,Num Commit,Num Release Note Sentece,Num Label 0,Num Label 1
0,vercel_swr,783,1108,97,686
1,electron_electron-packager,1166,242,973,193
2,probot_probot,1542,720,1103,439
3,microsoft_VFSForGit,2459,191,2258,201
4,git-ecosystem_git-credential-manager,1488,223,1270,218
5,elementary_mail,428,97,354,74
6,elementary_photos,3747,33,3646,101
7,elementary_appcenter,1341,188,1190,151
8,elementary_terminal,1219,94,1123,96
9,elementary_music,113,50,98,15
10,elementary_calculator,379,35,353,26
11,appium_appium-desktop,1132,188,902,230
12,revoltchat_desktop,82,31,65,17
13,sindresorhus_caprine,859,319,464,395
14,freeCodeCamp_mobile,737,199,554,183
15,mullvad_mullvadvpn-app,16203,1469,13729,2474
16,electron_forge,2823,411,1720,1103
17,ProtonVPN_linux-app,470,25,441,29
18,kivy_kivy,11783,1074,9306,2477
19,CodeEditApp_CodeEdit,1470,124,1303,167
20,webtorrent_webtorrent-desktop,2405,364,1844,561
21,keystonejs_keystone,7087,2541,5529,1558
22,keystonejs_keystone-classic,8052,934,6230,1822
23,hashicorp_terraform,26967,1586,24384,2583
24,hashicorp_vault,15067,1446,13217,1850
25,hashicorp_consul,18284,1362,16464,1820
26,hashicorp_packer,16507,465,15641,866
27,hashicorp_nomad,23126,1476,20953,2173
28,hashicorp_terraform-provider-aws,60695,5455,45412,15283
29,hashicorp_waypoint,10485,792,9575,910
30,hashicorp_terraform-cdk,5307,944,3666,1641
31,hashicorp_terraform-provider-azurerm,25454,5896,17757,7697
32,hashicorp_terraform-provider-google,7416,2052,5219,2197
33,hashicorp_terraform-provider-kubernetes,1225,372,790,435
34,gohugoio_hugo,7197,4947,3049,4148
35,vercel_next.js,15631,13386,1064,14567
36,vercel_turbo,4467,2349,2215,2252
37,irccloud_android,2782,417,2150,632
38,gotify_android,352,84,288,64
39,wallabag_android-app,1856,270,1595,261
40,jenkinsci_jenkins,27450,1876,22897,4553
41,jenkinsci_docker,1351,53,1305,46
42,jenkinsci_blueocean-plugin,3885,250,3448,437
43,jenkinsci_configuration-as-code-plugin,1540,868,672,868
44,atom_atom,35056,8573,26367,8689
45,atom_teletype,957,21,944,13
46,webpack_webpack,14827,2704,10209,4618
47,webpack_webpack-dev-server,2380,655,1624,756
48,webpack_webpack-cli,3107,202,2857,250
49,webpack_webpack-dev-middleware,1161,204,964,197
50,emberjs_ember.js,21692,1798,17704,3988
51,emberjs_data,8024,1431,5468,2556
52,django-cms_django-cms,13719,103,13401,318
53,storybookjs_storybook,42045,6900,19985,22060
54,storybookjs_design-system,1194,416,655,539
55,storybookjs_builder-vite,337,188,197,140
56,Lightning-AI_lightning,7941,2852,5063,2878
57,Lightning-AI_torchmetrics,1267,423,1070,197
58,jekyll_jekyll,11341,2675,7605,3736
59,jekyll_minima,454,70,383,71
60,jekyll_jekyll-admin,1367,207,1148,219
61,jekyll_jekyll-seo-tag,599,150,461,138
62,jekyll_jekyll-feed,427,107,310,117
63,remix-run_react-router,5432,1524,3949,1483
64,tailwindlabs_tailwindcss,4561,2466,3034,1527
65,tailwindlabs_headlessui,557,387,250,307
66,tailwindlabs_tailwindcss-intellisense,672,188,477,195
67,laravel_horizon,877,196,661,216
68,laravel_valet,1334,251,1102,232
69,laravel_cashier-stripe,1254,297,904,350
70,redux-saga_redux-saga,1756,353,1567,189
71,react-bootstrap_react-bootstrap,4311,261,3736,575
72,nestjs_nest,12390,1605,7554,4836
73,nestjs_nest-cli,2760,1721,567,2193
74,nestjs_typeorm,1684,1036,84,1600
75,nestjs_swagger,2229,1680,194,2035
76,nestjs_graphql,3009,1418,320,2689
77,nestjs_bull,1865,946,145,1720
78,tiangolo_fastapi,1642,1598,475,1167
79,tiangolo_typer,290,229,139,151
80,sanic-org_sanic,2602,592,2089,513
81,JuliaLang_julia,51633,626,48665,2968
82,JuliaLang_IJulia.jl,692,189,592,100
83,JuliaLang_PackageCompiler.jl,663,579,382,281
84,pixijs_pixijs,5753,2289,2880,2873
85,pixijs_pixi-react,779,272,475,304
86,pixijs_filters,365,245,202,163
87,Genymobile_scrcpy,2051,674,1612,439
88,Genymobile_gnirehtet,648,53,574,74
89,electron_electron,25955,6424,18088,7867
90,laravel_passport,891,166,686,205
91,laravel_laravel,5910,416,5284,626
92,laravel_framework,26956,2749,20264,6692
93,laravel_socialite,634,54,579,55
94,laravel_telescope,1025,159,853,172
95,laravel_homestead,1198,799,479,719
96,laravel_jetstream,719,322,385,334
97,laravel_octane,412,104,317,95
98,laravel_breeze,240,148,114,126
99,laravel_dusk,912,138,726,186
