,Repo,Num Commit,Num Release Note Sentece,Num Label 0,Num Label 1
0,jekyll_jekyll,11344,2745,8074,3270
1,jekyll_jekyll-admin,1367,207,1205,162
2,jekyll_jekyll-seo-tag,599,150,479,120
3,remix-run_react-router,5461,1784,4471,990
4,tailwindlabs_headlessui,560,401,267,293
5,tailwindlabs_tailwindcss-intellisense,678,195,518,160
6,laravel_laravel,5912,417,5450,462
7,laravel_socialite,636,56,588,48
8,laravel_homestead,1198,801,497,701
9,laravel_jetstream,722,323,479,243
10,laravel_octane,416,105,355,61
11,laravel_valet,1334,271,1142,192
12,laravel_cashier-stripe,1255,299,977,278
13,redux-saga_redux-saga,1756,440,1602,154
14,react-bootstrap_react-bootstrap,4322,261,3968,354
15,nestjs_nest-cli,2812,1773,605,2207
16,nestjs_swagger,2299,1790,232,2067
17,nestjs_bull,1915,946,193,1722
18,tiangolo_fastapi,1682,1726,537,1145
19,sanic-org_sanic,2603,628,2183,420
20,JuliaLang_julia,51789,637,50293,1496
21,JuliaLang_PackageCompiler.jl,667,603,382,285
22,vercel_swr,801,1244,162,639
23,electron_electron-packager,1167,243,956,211
24,probot_probot,1543,760,1145,398
25,microsoft_VFSForGit,2440,191,2301,139
26,git-ecosystem_git-credential-manager,1554,223,1367,187
27,elementary_mail,441,98,384,57
28,elementary_photos,3729,33,3667,62
29,elementary_appcenter,1330,192,1261,69
30,elementary_terminal,1214,94,1171,43
31,elementary_music,115,68,102,13
32,elementary_calculator,382,56,362,20
33,appium_appium-desktop,1132,188,979,153
34,revoltchat_desktop,82,31,68,14
35,sindresorhus_caprine,859,418,551,308
36,freeCodeCamp_mobile,776,225,668,108
37,mullvad_mullvadvpn-app,16386,1472,15344,1042
38,electron_forge,2836,446,2267,569
39,ProtonVPN_linux-app,470,25,455,15
40,kivy_kivy,11698,1191,9939,1759
41,CodeEditApp_CodeEdit,1498,195,1395,103
42,webtorrent_webtorrent-desktop,2410,364,1955,455
43,keystonejs_keystone,7112,2908,6339,773
44,keystonejs_keystone-classic,8048,934,6432,1616
45,hashicorp_terraform,27029,1591,25349,1680
46,hashicorp_vault,15296,1552,13781,1515
47,hashicorp_consul,18426,1432,17056,1370
48,hashicorp_packer,16525,524,16193,332
49,hashicorp_nomad,23238,1489,21607,1631
50,hashicorp_terraform-provider-aws,62380,5690,48902,13478
51,hashicorp_waypoint,10637,820,10081,556
52,hashicorp_terraform-cdk,5405,987,4207,1198
53,hashicorp_terraform-provider-azurerm,25762,6001,19254,6508
54,hashicorp_terraform-provider-google,7547,2109,5785,1762
55,hashicorp_terraform-provider-kubernetes,1235,379,844,391
56,gohugoio_hugo,7323,5229,3342,3981
57,vercel_next.js,16016,13805,1449,14567
58,vercel_turbo,4669,2714,2958,1711
59,irccloud_android,2782,418,2527,255
60,gotify_android,354,84,300,54
61,wallabag_android-app,1860,270,1712,148
62,jenkinsci_jenkins,27577,1987,22025,5552
63,jenkinsci_docker,1380,71,1224,156
64,jenkinsci_blueocean-plugin,3883,252,3139,744
65,jenkinsci_configuration-as-code-plugin,1555,888,677,878
66,atom_atom,35060,8743,28372,6688
67,atom_teletype,959,21,947,12
68,webpack_webpack,15042,2817,11983,3059
69,webpack_webpack-dev-server,2384,658,1733,651
70,webpack_webpack-cli,3163,210,2811,352
71,webpack_webpack-dev-middleware,1188,204,952,236
72,emberjs_ember.js,21705,1830,16478,5227
73,emberjs_data,8055,1447,5717,2338
74,django-cms_django-cms,13783,104,13657,126
75,storybookjs_storybook,42691,7885,25616,17075
76,storybookjs_design-system,1183,417,721,462
77,storybookjs_builder-vite,337,235,247,90
78,Lightning-AI_lightning,8021,3505,6111,1910
79,Lightning-AI_torchmetrics,1308,450,1178,130
80,jekyll_minima,454,70,391,63
81,jekyll_jekyll-feed,428,107,327,101
82,tailwindlabs_tailwindcss,4596,2963,3564,1032
83,laravel_passport,892,166,752,140
84,laravel_framework,27135,2768,23586,3549
85,laravel_telescope,1048,162,904,144
86,laravel_horizon,895,197,727,168
87,laravel_breeze,241,148,157,84
88,laravel_dusk,912,138,760,152
89,nestjs_nest,12751,1703,6413,6338
90,nestjs_typeorm,1723,1341,89,1634
91,nestjs_graphql,3080,1447,374,2706
92,tiangolo_typer,290,229,152,138
93,JuliaLang_IJulia.jl,698,210,580,118
94,pixijs_pixijs,5752,3711,3734,2018
95,pixijs_pixi-react,779,340,612,167
96,pixijs_filters,365,280,229,136
97,Genymobile_scrcpy,2052,714,1757,295
98,Genymobile_gnirehtet,648,53,606,42
99,electron_electron,26071,6531,22052,4019
