,Time
0,353046
1,140057
2,610980
3,85189
4,404277
5,210967
6,74213
7,8160
8,331906
9,28868
10,262827
11,174443
12,400199
13,285572
14,216465
15,13018
16,109541
17,481031
18,13137
19,160767
20,287771
21,280959
22,335979
23,43759
24,10725
25,195661
26,571148
27,5642
28,277743
29,10885
30,98668
31,25186
32,109655
33,7433
34,118811
35,846
36,43645
37,336245
38,524554
39,190016
40,113451
41,301193
42,24727
43,13585
44,139729
45,41243
46,66902
47,226982
48,2219
49,24899
50,338388
51,3578
52,69042
53,434516
54,22692
55,255515
56,185524
57,82
58,1349
59,224794
60,255023
61,127362
62,71425
63,157887
64,244834
65,130473
66,140380
67,8756
68,160928
69,289841
70,3297
71,5271
72,896
73,2285
74,35023
75,3184
76,1177
77,2917
78,179925
79,33390
80,45767
81,257829
82,209045
83,90803
84,2434
85,43307
86,1632
87,165142
88,170178
89,140035
90,130960
91,287725
92,51706
93,180857
94,259643
95,1315
96,102494
97,59861
98,107499
99,148113
100,195151
101,149407
102,137855
103,386206
104,211168
105,142967
106,199369
107,134576
108,170597
109,94577
110,164843
111,11572
112,90749
113,171412
114,102350
115,254723
116,88019
117,257634
118,72900
119,188356
120,147169
121,224444
122,28919
123,1966
124,14444
125,2372
126,253934
127,27480
128,4220
129,231560
130,92347
131,110568
132,125639
133,364760
134,108657
135,310435
136,11894
137,436677
138,169573
139,84958
140,286849
141,129861
142,173525
143,101438
144,161279
145,185163
146,250558
147,285583
148,157582
149,766386
150,437589
151,174094
152,778931
153,680207
154,887338
155,519623
156,345768
157,6144
158,1208
159,3184
160,567011
161,369757
162,580678
163,476905
164,51452
165,714772
166,172811
167,398193
168,278525
169,254813
170,383853
171,491115
172,80461
173,31986
174,224036
175,285298
176,350452
177,128884
178,110926
179,237272
180,388779
181,325231
182,147882
183,292027
184,9229
185,4728
186,172607
187,42936
188,260828
189,102502
190,68200
191,3154
192,444
193,360421
194,195975
195,174482
196,385668
197,176598
198,274482
199,12576
200,151973
201,205508
202,50866
203,283986
